1|拨备率|20171129|0.0%
2|不良率|20171129|0.0%
3|不良资产处置回收率|20171129|0.0%
4|厂商租赁业务|20171129|0.0%
5|单一股东关联度|20171129|0.0%
6|单一集团客户集中度|20171129|0.0%
7|单一客户关联度|20171129|0.0%
8|单一客户集中度|20171129|0.0%
9|管理资产规模|20171129|0.0万元
10|利率风险|20171129|0.0%
11|流动比率|20171129|0.0%
12|全部关联度|20171129|0.0%
13|售后回租业务|20171129|0.0万元
14|损失率|20171129|0.0%
15|同业拆借比例|20171129|0.0%
16|逾期率|20171129|0.0%
17|直租业务|20171129|0.0万元
18|资本充足率|20171129|0.0%
19|收入增长率|20171129|0.0%
20|利润增长率|20171129|0.0%
21|净资产收益率|20171129|0.0%
